topic,batch,topicsperbatch,keywords,vol,group,totaltopic,totalvol,extract
59,6,10,new|govt|#coal|ignor|one|approv|sign|power|pari|lnp,628,59,3,1541,26
60,6,10,#greatbarrierreef|risk|water|need|malcolm|tackl|#scienc|read|air|death,509,60,2,1126,0
61,7,10,scienc|impact|brandi|settl|research|leader|thank|key|denial|kid,538,61,2,711,0
62,7,10,action|nation|effect|bill|peopl|lead|rog|pai|commit|fossil,472,62,2,854,0
63,7,10,#greatbarrierreef|world|#heatdestroysreef|threaten|feder|risk|threat|speci|#thedr|comm,497,63,2,1356,0
64,7,10,coal|polici|chang|news|call|energi|eah|mine|minist|talk,701,64,2,1085,0
65,7,10,polit|make|big|play|nbn|poll|recent|game|show|two,380,65,2,1338,0
66,7,10,reef|now|great|denier|barrier|coral|bleach|time|wors|clo,578,57,8,3501,1
67,7,10,websit|rise|sea|level|home|reveal|swamp|facebook|nasa|disc,353,22,4,1946,10
68,7,10,new|ind|year|repo|oil|knew|affect|record|#coal|deni,650,68,1,650,0
69,7,10,scientist|believ|tackl|stop|consens|agre|food|serio|elect|price,471,69,2,1056,0
70,7,10,need|georg|care|give|govt|real|gay|regret|impress|join,358,70,1,358,0
71,8,10,believ|peopl|ind|impact|rise|year|tilt|read|#scienc|affect,607,71,2,1207,0
72,8,10,#greatbarrierreef|reef|great|save|coral|barrier|bleach|david|attenboro|#coal,436,57,8,3501,1
73,8,10,lnp|scienc|#qanda|vote|need|admit|settl|decid|danger|accept,438,73,2,1015,0
74,8,10,scientist|fight|time|one|govern|make|job|creat|defenc|temperat,516,74,3,2104,16
75,8,10,labor|polici|anno|respons|elect|coalit|shoen|liber|posit|greg,366,75,2,924,0
76,8,10,tackl|emiss|effect|stop|carbon|act|red|good|fossil|renew,604,54,3,2085,17
77,8,10,#eahday|world|threat|iss|big|green|serio|biggest|combat|tax,633,77,2,1264,0
78,8,10,action|real|plan|invest|find|gro|deliv|commit|econom|detail,485,78,4,1901,14
79,8,10,now|coal|fiona|lead|today|minist|talk|georg|nash|mine,384,64,2,1085,0
80,8,10,new|sign|pari|agreement|#parisagr|nation|leader|abbott|deal|inact,529,80,4,1914,12
81,9,10,time|clean|energi|address|mine|serio|word|#coal|ineq|ignor,403,81,2,1076,0
82,9,10,mention|scott|morrison|#cleanenergi|bother|congrat|scotti|beam|#storifi|fail,351,82,1,351,0
83,9,10,bleach|great|reef|barrier|made|imposs|denier|environ|likeli|coral,389,57,8,3501,1
84,9,10,scientist|#greatbarrierreef|weather|warm|major|sign|clear|#qldpol|increas|top,409,84,1,409,0
85,9,10,polici|labor|scare|campaign|one|water|fight|real|govt|tax,985,85,1,985,0
86,9,10,new|ocean|threat|oxygen|sta|believ|malcolm|level|drop|investor,532,86,1,532,0
87,9,10,respons|news|asyl|back|pathet|lenor|taylor|#market|#pr|seeker,193,17,3,1075,34
88,9,10,mention|total|speech|zero|grow|grand|night|rich|gap|#betterb,178,88,1,178,0
89,9,10,action|world|govern|now|tackl|need|note|plan|save|#bleach,602,89,3,1959,18
90,9,10,peopl|face|fail|talk|make|big|polit|iss|ref|show,958,65,2,1338,0
91,10,10,carbon|repo|recommend|price|back|mandatori|held|elect|excl|boom,382,91,1,382,0
