topic,batch,topicsperbatch,endbreak,keywords,vol
1,1,10,533,now|talk|one|heat|fossil|exc|planet|min|free|polit,533
2,1,10,1092,biggest|threat|need|expe|disast|economi|deni|pari|big|oil,559
3,1,10,1719,scientist|time|scienc|#sot|obama|#actonclim|impact|tho|presid|fail,627
4,1,10,2098,year|record|hottest|#hottestyear|news|temperat|thank|#market|smash|#pr,379
5,1,10,2683,risk|new|ice|energi|next|food|renew|plant|age|biodivers,585
6,1,10,3129,#thori|#coal|call|sol|#gop|#lnp|face|interest|#oil|politician,446
7,1,10,3742,denier|weather|action|thing|back|believ|real|extrem|right|flood,613
8,1,10,4025,govern|carbon|tax|hawk|consid|polici|tackl|sta|nsw|approach,283
9,1,10,4416,econom|serio|world|read|billion|bet|denial|col|wasnt|activ,391
10,1,10,4994,affect|fight|make|stop|peopl|good|eah|show|cons|ind,578
11,2,10,605,tackl|#thori|serio|big|#solar|time|#renew|power|talk|face,605
12,2,10,1091,#csiro|one|malcolm|call|lake|fight|dri|system|lost|innov,486
13,2,10,1728,scienc|year|record|#scienc|denier|temperat|peopl|combat|believ|hottest,637
14,2,10,2068,scientist|answer|chief|claim|derid|exec|senior|csiro|money|solv,340
15,2,10,2615,world|forest|heritag|thank|zika|tree|sander|affect|increas|poll,547
16,2,10,2973,csiro|research|head|rise|ocean|water|work|red|job|noaa,358
17,2,10,3453,action|need|marriag|real|news|#market|#coal|#pr|join|predict,480
18,2,10,3982,impact|make|stop|great|effect|respons|lnp|weather|#actonclim|ignor,529
19,2,10,4612,new|now|chang|risk|threaten|nat|creat|rep|heat|polit,630
20,2,10,4997,fire|tasmania|devast|good|area|tasmanian|govern|ancient|learn|central,385
21,3,10,489,action|repo|coal|#thori|carbon|stall|frozen|panership|park|power,489
22,3,10,853,research|rise|sea|year|level|show|rate|big|fastest|island,364
23,3,10,1601,impact|chang|find|link|next|fire|polici|join|ice|peopl,748
24,3,10,2041,need|#csiro|scienc|energi|adapt|reef|lead|coral|answer|share,440
25,3,10,2416,record|save|protect|jan|nat|right|#ilggclim|temperat|threaten|#speciesonthemov,375
26,3,10,2818,threat|believ|face|news|earli|#market|#pr|ripen|grape|wine,402
27,3,10,3276,#csiroc|risk|plan|time|cost|leav|health|fail|danger|damag,458
28,3,10,3762,csiro|scientist|speci|fli|navig|model|faster|head|melbo|denier,486
29,3,10,4301,now|new|make|talk|thing|econom|great|combat|dep|singl,539
30,3,10,5000,world|effect|#scienc|one|act|affect|govern|increas|nation|good,699
31,4,10,264,action|chang|save|leader|sta|elect|make|need|vital|brave,264
32,4,10,728,address|act|iss|pai|white|big|paper|risk|deni|abbott,464
33,4,10,1208,speech|leo|#oscar|accept|oscar|win|thank|talk|fossil|indigen,480
34,4,10,1851,scientist|record|sea|planet|#actonclim|ice|rise|effect|temperat|tackl,643
35,4,10,2457,world|great|nat|increas|believ|fight|find|arg|denier|nbn,606
36,4,10,2918,leonardo|now|year|stop|tho|hit|wait|dicaprio|warn|read,461
37,4,10,3307,call|debat|liber|nsw|nation|scienc|lib|sign|#lnp|#coal,389
38,4,10,3661,threat|real|right|face|sho|happen|entir|winner|#oscar|victim,354
39,4,10,4173,need|polit|news|make|polici|#scienc|toni|windsor|green|carbon,512
40,4,10,4999,peopl|new|impact|health|repo|#heathealth|one|time|research|million,826
41,5,10,566,need|now|scienc|#thori|reef|great|news|iss|believ|nation,566
42,5,10,1391,new|one|make|coal|talk|carbon|csiro|day|chang|stop,825
43,5,10,1781,time|disc|peopl|govern|call|politician|serio|marriag|tweet|contin,390
44,5,10,2076,temperat|spike|polici|shocker|overdr|scientist|work|danger|happen|labor,295
45,5,10,2453,scientist|chief|warn|weather|#scienc|energi|extrem|link|lose|battl,377
46,5,10,2926,record|world|heat|show|febr|lose|battl|set|mileston|smash,473
47,5,10,3417,#qanda|denier|rate|deni|alarm|place|conseq|liber|give|#lnpfail,491
48,5,10,3954,emiss|#greatbarrierreef|risk|level|#coralbleach|bleach|rise|strong|sea|inact,537
49,5,10,4679,research|mari|action|#eahho|robinson|year|polit|threat|fight|presid,725
50,5,10,4999,poll|right|address|feder|#essenti|amo|effo|activ|normal|realiti,320
51,6,10,480,warn|time|year|stop|first|tho|#thori|abbott|live|address,480
52,6,10,891,now|day|record|destroy|evid|solid|respons|save|increas|wors,411
53,6,10,1230,devast|#gbr|#coralbleach|fear|polici|temperat|#csiro|spike|speaker|marriag,339
54,6,10,2001,health|impact|emiss|carbon|sea|rise|fact|effect|good|today,771
55,6,10,2345,world|john|make|hewson|recess|face|head|adani|job|crisi,344
56,6,10,2980,action|coal|scienc|financi|talk|believ|energi|csiro|real|wipe,635
57,6,10,3413,reef|great|barrier|danger|bleach|coral|grave|attenboro|chang|deni,433
58,6,10,3862,scientist|repo|research|denier|worri|coalit|sack|ice|meteorolog|plan,449
59,6,10,4490,new|govt|#coal|ignor|one|approv|sign|power|pari|lnp,628
60,6,10,4999,#greatbarrierreef|risk|water|need|malcolm|tackl|#scienc|read|air|death,509
61,7,10,538,scienc|impact|brandi|settl|research|leader|thank|key|denial|kid,538
62,7,10,1010,action|nation|effect|bill|peopl|lead|rog|pai|commit|fossil,472
63,7,10,1507,#greatbarrierreef|world|#heatdestroysreef|threaten|feder|risk|threat|speci|#thedr|comm,497
64,7,10,2208,coal|polici|chang|news|call|energi|eah|mine|minist|talk,701
65,7,10,2588,polit|make|big|play|nbn|poll|recent|game|show|two,380
66,7,10,3166,reef|now|great|denier|barrier|coral|bleach|time|wors|clo,578
67,7,10,3519,websit|rise|sea|level|home|reveal|swamp|facebook|nasa|disc,353
68,7,10,4169,new|ind|year|repo|oil|knew|affect|record|#coal|deni,650
69,7,10,4640,scientist|believ|tackl|stop|consens|agre|food|serio|elect|price,471
